PogId,ExistingItemId,NewItemId,seq
J288BD6,288070868,288070010,1
J288BDI,288070868,288070010,1
J288BDO,288070868,288070010,1
J288BDC,288070868,288070010,1
J288BDS,288070868,288070010,1
J288BEH,288070868,288070010,1
J288BEB,288070868,288070010,1
J288BDL,288070868,288070010,1
J288BET,288070868,288070010,1
J288BF2,288070868,288070010,1
J288BEP,288070868,288070010,1
J288BFO,288070868,288070010,1
J288BGL,288070868,288070010,1
J288BGQ,288070868,288070010,1
J288BHS,288070868,288070010,1
J288BG8,288070868,288070010,1
J288BG0,288070868,288070010,1
J288BF7,288070868,288070010,1
J288BFS,288070868,288070010,1
J288BHB,288070868,288070010,1
J288BHH,288070868,288070010,1
J288BHG,288070868,288070010,1
J288BIV,288070868,288070010,1
J288BIZ,288070868,288070010,1
J288BI3,288070868,288070010,1
J288BIL,288070868,288070010,1
J288BHE,288070868,288070010,1
J288BJ6,288070868,288070010,1
J288BJP,288070868,288070010,1
J288BIW,288070868,288070010,1
J288BIY,288070868,288070010,1
J288BJI,288070868,288070010,1
J288BK8,288070868,288070010,1
J288BLF,288070868,288070010,1
J288BKG,288070868,288070010,1
J288BL4,288070868,288070010,1
J288BLE,288070868,288070010,1
J288BMH,288070868,288070010,1
J288BKY,288070868,288070010,1
J288BLU,288070868,288070010,1
J288BMV,288070868,288070010,1
J288BNR,288070868,288070010,1
J288BNE,288070868,288070010,1
J288BN8,288070868,288070010,1
J288BOK,288070868,288070010,1
J288BO9,288070868,288070010,1
J288BNS,288070868,288070010,1
J288BOD,288070868,288070010,1
J288BPC,288070868,288070010,1
J288BP0,288070868,288070010,1
J288BPD,288070868,288070010,1
J288BPA,288070868,288070010,1
J288BKW,288070868,288070010,1
J288BLC,288070868,288070010,1
J288BM1,288070868,288070010,1
J288BLL,288070868,288070010,1
J288BLO,288070868,288070010,1
J288BMM,288070868,288070010,1
J288BO1,288070868,288070010,1
J288BNC,288070868,288070010,1
J288BP6,288070868,288070010,1
J288BQ4,288070868,288070010,1
J288BQX,288070868,288070010,1
J288BSC,288070868,288070010,1
J288BSE,288070868,288070010,1
J288BSK,288070868,288070010,1
J288BSP,288070868,288070010,1
J288BRX,288070868,288070010,1
J288BSZ,288070868,288070010,1
J288BQT,288070868,288070010,1
J288BU0,288070868,288070010,1
J288BRF,288070868,288070010,1
J288BU2,288070868,288070010,1
J288BS6,288070868,288070010,1
J288BVF,288070868,288070010,1
J288BV4,288070868,288070010,2
J288C0O,288070868,288070010,2
J288BUQ,288070868,288070010,2
J288BU3,288070868,288070010,2
